walk1.png, 208, 8, 40, 49, 0, 0, 0, 0
walk2.png, 250, 8, 45, 49, 0, 0, 0, 0
walk3.png, 299, 8, 45, 49, 0, 0, 0, 0
walk4.png, 350, 8, 40, 49, 0, 0, 0, 0
arrow.png, 300, 100, 35, 10, 0, 0, 0, 0
arrow_dive.png, 395, 101, 27, 10, 0, 0, 0, 0
nothing.png, 429, 108, 1, 1, 0, 0, 0, 0
stand1.png, 5, 8, 40, 49, 0, 0, 0, 0
stand2.png, 52, 8, 40, 49, 0, 0, 0, 0
stand3.png, 98, 8, 40, 49, 0, 0, 0, 0
stand4.png, 142, 8, 40, 49, 0, 0, 0, 0
jump1.png, 64, 597, 50, 49, 0, 0, 0, 0
jump2.png, 52, 8, 40, 49, 0, 0, 0, 0
jump3.png, 309, 738, 51, 49, 0, 0, 0, 0
jump4.png, 368, 738, 51, 49, 0, 0, 0, 0
jump5.png, 430, 750, 51, 49, 0, 0, 0, 0
jump6.png, 489, 760, 51, 41, 0, 0, 0, 0
dead1.png, 307, 212, 51, 41, 0, 0, 0, 0
dead2.png, 364, 233, 61, 51, 0, 0, 0, 0
explosion1, 112, 667, 30, 40, 0, 0, 0, 0
explosion2, 145, 667, 30, 40, 0, 0, 0, 0
explosion3, 184, 667, 30, 40, 0, 0, 0, 0
explosion4, 225, 667, 30, 40, 0, 0, 0, 0
explosion5, 262, 667, 30, 40, 0, 0, 0, 0
shoot1, 8, 81, 40, 49, 0, 0, 0, 0
shoot2, 63, 81, 51, 49, 0, 0, 0, 0
shoot3, 120, 81, 51, 49, 0, 0, 0, 0
shoot4, 180, 81, 50, 49, 0, 0, 0, 0
shoot5, 235, 81, 53, 49, 0, 0, 0, 0
ammo_arrow1.png, 680, 817, 26, 31, 0, 0, 0, 0
ammo_arrow2.png, 711, 817, 26, 31, 0, 0, 0, 0
ammo_arrow3.png, 741, 817, 26, 31, 0, 0, 0, 0
